verificationKey,type,description,datasetKey,taxonKey,scientificName
1002621,Introduced species vector dispersal,in Belgian part of the North Sea: Other,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157131084,"Keratella tropica (Apstein, 1907)"
1002621,Introduced species vector dispersal,"in Belgian part of the North Sea: Ships: accidental with ballast water, sea water systems, live wells or other deck basins",0a2eaf0c-5504-4f48-a47f-c94229029dc8,157131084,"Keratella tropica (Apstein, 1907)"
1008955,Introduced species vector dispersal,Argentinean part of the South Atlantic Ocean  (Marine Region)  Ships: accidental as attached or free-living fouling organisms,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130960,"Fenestrulina delicia Winston, Hayward & Craig, 2000"
1008955,Introduced species vector dispersal,in Belgian part of the North Sea: Aquaculture: accidental,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130960,"Fenestrulina delicia Winston, Hayward & Craig, 2000"
1032262,degree of establishment,established,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224,"Enderleinellus kumadai Kaneko, 1954"
1032262,native range,Southern Asia,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224,"Enderleinellus kumadai Kaneko, 1954"
1032262,pathway,cbd_2014_pathway:contaminant_animal_parasite,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224,"Enderleinellus kumadai Kaneko, 1954"
1032377,degree of establishment,established,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227,"Hoplopleura erismata Ferris, 1921"
1032377,native range,Southern Asia,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227,"Hoplopleura erismata Ferris, 1921"
1032377,pathway,cbd_2014_pathway:contaminant_animal_parasite,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227,"Hoplopleura erismata Ferris, 1921"
1043717,degree of establishment,introduced,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301260,"Cryptolaemus montrouzieri Mulsant, 1853"
1043717,native range,Australia and New Zealand,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301260,"Cryptolaemus montrouzieri Mulsant, 1853"
1043717,pathway,cbd_2014_pathway:release_biological_control,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301260,"Cryptolaemus montrouzieri Mulsant, 1853"
1047536,degree of establishment,established,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301253,"Leptinotarsa decemlineata (Say, 1824)"
1047536,native range,Northern America,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301253,"Leptinotarsa decemlineata (Say, 1824)"
