verificationKey,locality,locationId,startYear,endYear,datasetKey,taxonKeys,scientificNames,degreeOfEstablishments,pathways
5666,Belgium,ISO_3166:BE,2011,2019,a12e2bf8-13ce-4d0b-b2d4-b1cd20450a63,180661135,"Gekkota (Cuvier, 1817)",NA,NA
5666,Flemish Region,ISO_3166:BE-VLG,2011,2019,a12e2bf8-13ce-4d0b-b2d4-b1cd20450a63,180661135,"Gekkota (Cuvier, 1817)",casual,containerBulk|pet
1002621,Belgium,ISO_3166:BE,1974,1974,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157131084,"Keratella tropica (Apstein, 1907)",NA,NA
1003567,Belgium,ISO_3166:BE,2014,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206111211,Pectinatella magnifica,NA,NA
1003567,Flemish Region,ISO_3166:BE-VLG,2014,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206111211,Pectinatella magnifica,NA,NA
1007512,Belgium,ISO_3166:BE,2016,2016,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130949,"Pacificincola perforata (Okada & Mawatari, 1937)",NA,NA
1007512,Flemish Region,ISO_3166:BE-VLG,2016,2016,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130949,"Pacificincola perforata (Okada & Mawatari, 1937)",NA,NA
1007534,Belgium,ISO_3166:BE,1999,2000,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130955,"Phaeostachys spinifera (Johnston, 1847)",NA,NA
1007534,Flemish Region,ISO_3166:BE-VLG,1999,2000,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130955,"Phaeostachys spinifera (Johnston, 1847)",NA,NA
1008610,Belgium,ISO_3166:BE,1999,2006,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130989,"Haplopoma graniferum (Johnston, 1847)",NA,NA
1008610,Flemish Region,ISO_3166:BE-VLG,1999,2006,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130989,"Haplopoma graniferum (Johnston, 1847)",NA,NA
1008612,Belgium,ISO_3166:BE,1999,2006,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130988,"Haplopoma impressum (Audouin, 1826)",NA,NA
1008612,Flemish Region,ISO_3166:BE-VLG,1999,2006,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130988,"Haplopoma impressum (Audouin, 1826)",NA,NA
1008955,Belgium,ISO_3166:BE,2009,2009,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130960,"Fenestrulina delicia Winston, Hayward & Craig, 2000",NA,NA
1008955,Flemish Region,ISO_3166:BE-VLG,2009,2012,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112912,Fenestrulina delicia,NA,NA
1010644,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164300951,"Hanseniella caldaria (Hansen, 1903)",NA,NA
1013526,Belgium,ISO_3166:BE,2015,2015,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164300948,"Cylindroiulus britannicus (Verhoeff, 1891)",NA,NA
1013526,Flemish Region,ISO_3166:BE-VLG,2015,2015,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164300948,"Cylindroiulus britannicus (Verhoeff, 1891)",NA,NA
1014565,Belgium,ISO_3166:BE,2015,2017,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098642,Amphitomeus attemsi,NA,NA
1014565,Flemish Region,ISO_3166:BE-VLG,2015,2017,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098642,Amphitomeus attemsi,NA,NA
1016841,Belgium,ISO_3166:BE,2020,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206094988,Orthomorpha coarctata,NA,NA
1016841,Walloon Region,ISO_3166:BE-WAL,2020,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206094988,Orthomorpha coarctata,NA,NA
1017419,Belgium,ISO_3166:BE,2009,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108403,Oxidus gracilis,NA,NA
1017419,Brussels-Capital Region,ISO_3166:BE-BRU,2017,2017,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108403,Oxidus gracilis,NA,NA
1017419,Flemish Region,ISO_3166:BE-VLG,2009,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108403,Oxidus gracilis,NA,NA
1017419,Walloon Region,ISO_3166:BE-WAL,2021,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108403,Oxidus gracilis,NA,NA
1031394,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301304,Ectopsocus petersi,NA,NA
1031400,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301310,Ectopsocus briggsi,NA,NA
1031512,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301303,Liposcelis brunnea,NA,NA
1031520,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301302,Liposcelis bostrychophila,NA,NA
1031524,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301299,Liposcelis paeta,NA,NA
1031564,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301308,Psoquilla marginepunctata,NA,NA
1031677,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301309,Trogium pulsatorium,NA,NA
1031680,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301306,Cerobasis annulata,NA,NA
1031684,Belgium,ISO_3166:BE,2009,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112943,Lepinotus patruelis,NA,NA
1031684,Brussels-Capital Region,ISO_3166:BE-BRU,2012,2012,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112943,Lepinotus patruelis,NA,NA
1031684,Flemish Region,ISO_3166:BE-VLG,2010,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112943,Lepinotus patruelis,NA,NA
1031684,Walloon Region,ISO_3166:BE-WAL,2009,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112943,Lepinotus patruelis,NA,NA
1031685,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301300,Lepinotus reticulatus,NA,NA
1031737,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301296,Psyllipsocus ramburii,NA,NA
1031742,Belgium,ISO_3166:BE,2011,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Brussels-Capital Region,ISO_3166:BE-BRU,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Flemish Region,ISO_3166:BE-VLG,2011,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Walloon Region,ISO_3166:BE-WAL,2016,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031743,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301307,Dorypteryx pallida,NA,NA
