verificationKey,scientificName,nameKey,taxonID,kingdom,phylum,class,order,family,genus,species,datasetKey,parentKey,parent,canonicalName,authorship,nameType,rank,taxonomicStatus,acceptedKey,acceptedName,datasetKeys,taxonKeys
5666,Gekkonidae,4626975,gbif:5666,Animalia,Chordata,Squamata,,Gekkonidae,,,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,11592253,Squamata,Gekkonidae,,SCIENTIFIC,FAMILY,ACCEPTED,,,a12e2bf8-13ce-4d0b-b2d4-b1cd20450a63|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,180661135|168131251
1002621,"Keratella tropica (Apstein, 1907)",5863009,gbif:1002621,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella tropica,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1002582,Keratella,Keratella tropica,"(Apstein, 1907) ",SCIENTIFIC,SPECIES,ACCEPTED,,,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157131084
1003567,"Pectinatella magnifica (Leidy, 1851)",8319966,gbif:1003567,Animalia,Bryozoa,Phylactolaemata,Plumatellida,Pectinatellidae,Pectinatella,Pectinatella magnifica,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1003566,Pectinatella,Pectinatella magnifica,"(Leidy, 1851) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206111211
1007534,"Phaeostachys spinifera (Johnston, 1847)",8505815,gbif:1007534,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Escharinidae,Phaeostachys,Phaeostachys spinifera,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1007533,Phaeostachys,Phaeostachys spinifera,"(Johnston, 1847) ",SCIENTIFIC,SPECIES,ACCEPTED,,,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130955
1008610,"Haplopoma graniferum (Johnston, 1847)",4999686,gbif:1008610,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,Haplopoma graniferum,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1008605,Haplopoma,Haplopoma graniferum,"(Johnston, 1847) ",SCIENTIFIC,SPECIES,ACCEPTED,,,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130989
1008612,"Haplopoma impressum (Audouin, 1826)",4999716,gbif:1008612,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,Haplopoma impressum,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1008605,Haplopoma,Haplopoma impressum,"(Audouin, 1826) ",SCIENTIFIC,SPECIES,ACCEPTED,,,0a2eaf0c-5504-4f48-a47f-c94229029dc8,157130988
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",4419528,gbif:1008955,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Fenestrulinidae,Fenestrulina,Fenestrulina delicia,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1008901,Fenestrulina,Fenestrulina delicia,"Winston, Hayward & Craig, 2000",SCIENTIFIC,SPECIES,ACCEPTED,,,0a2eaf0c-5504-4f48-a47f-c94229029dc8|2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,157130960|206112912
1010644,"Hanseniella caldaria (Hansen, 1903)",4986413,gbif:1010644,Animalia,Arthropoda,Symphyla,,Scutigerellidae,Hanseniella,Hanseniella caldaria,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1010637,Hanseniella,Hanseniella caldaria,"(Hansen, 1903) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164300951
1013526,"Cylindroiulus britannicus (Verhoeff, 1891)",3172577,gbif:1013526,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,Cylindroiulus britannicus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1013523,Cylindroiulus,Cylindroiulus britannicus,"(Verhoeff, 1891) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164300948
1014565,"Amphitomeus attemsi (Schubart, 1934)",581527,gbif:1014565,Animalia,Arthropoda,Diplopoda,Polydesmida,Oniscodesmidae,Amphitomeus,Amphitomeus attemsi,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1014564,Amphitomeus,Amphitomeus attemsi,"(Schubart, 1934) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206098642
1016841,"Orthomorpha coarctata (Saussure, 1860)",7925946,gbif:1016841,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Orthomorpha,Orthomorpha coarctata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1017490,Orthomorpha,Orthomorpha coarctata,"(Saussure, 1860) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206094988
1017419,"Oxidus gracilis (C.L.Koch, 1847)",16971419,gbif:1017419,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,Oxidus gracilis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1017418,Oxidus,Oxidus gracilis,"(C.L.Koch, 1847) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108403
1031394,"Ectopsocus petersi Smithers, 1978",3833301,gbif:1031394,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus petersi,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031392,Ectopsocus,Ectopsocus petersi,"Smithers, 1978",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301304
1031400,"Ectopsocus briggsi McLachlan, 1899",3835191,gbif:1031400,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus briggsi,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031392,Ectopsocus,Ectopsocus briggsi,"McLachlan, 1899",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301310
1031512,"Liposcelis brunnea Motschulsky, 1852",6377659,gbif:1031512,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis brunnea,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031505,Liposcelis,Liposcelis brunnea,"Motschulsky, 1852",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301303
1031520,"Liposcelis bostrychophila Badonnel, 1931",6377624,gbif:1031520,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis bostrychophila,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031505,Liposcelis,Liposcelis bostrychophila,"Badonnel, 1931",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301302
1031524,"Liposcelis paeta Pearman, 1942",6377977,gbif:1031524,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis paeta,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031505,Liposcelis,Liposcelis paeta,"Pearman, 1942",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301299
1031564,"Psoquilla marginepunctata Hagen, 1865",9450257,gbif:1031564,Animalia,Arthropoda,Insecta,Psocodea,Psoquillidae,Psoquilla,Psoquilla marginepunctata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031563,Psoquilla,Psoquilla marginepunctata,"Hagen, 1865",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301308
1031677,"Trogium pulsatorium (Linnaeus, 1758)",11513376,gbif:1031677,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Trogium,Trogium pulsatorium,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031676,Trogium,Trogium pulsatorium,"(Linnaeus, 1758) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301309
1031680,"Cerobasis annulata (Hagen, 1865)",2242331,gbif:1031680,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Cerobasis,Cerobasis annulata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031678,Cerobasis,Cerobasis annulata,"(Hagen, 1865) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301306
1031684,"Lepinotus patruelis Pearman, 1931",6176344,gbif:1031684,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,Lepinotus patruelis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031683,Lepinotus,Lepinotus patruelis,"Pearman, 1931",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206112943|164301301
1031685,"Lepinotus reticulatus Enderlein, 1904",6176365,gbif:1031685,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,Lepinotus reticulatus,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031683,Lepinotus,Lepinotus reticulatus,"Enderlein, 1904",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301300
1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",9466750,gbif:1031737,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Psyllipsocus,Psyllipsocus ramburii,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031736,Psyllipsocus,Psyllipsocus ramburii,"Selys-Longchamps, 1872",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301296
1031742,"Dorypteryx domestica (Smithers, 1958)",3691737,gbif:1031742,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,Dorypteryx domestica,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031741,Dorypteryx,Dorypteryx domestica,"(Smithers, 1958) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206109678|164301298
1031743,"Dorypteryx pallida Aaron, 1883",3691769,gbif:1031743,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,Dorypteryx pallida,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1031741,Dorypteryx,Dorypteryx pallida,"Aaron, 1883",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301307
1032262,"Enderleinellus kumadai Kaneko, 1954",3937269,gbif:1032262,Animalia,Arthropoda,Insecta,Psocodea,Enderleinellidae,Enderleinellus,Enderleinellus kumadai,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1032231,Enderleinellus,Enderleinellus kumadai,"Kaneko, 1954",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224
1032377,"Hoplopleura erismata Ferris, 1921",5324880,gbif:1032377,Animalia,Arthropoda,Insecta,Psocodea,Hoplopleuridae,Hoplopleura,Hoplopleura erismata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1032305,Hoplopleura,Hoplopleura erismata,"Ferris, 1921",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227
1043717,"Cryptolaemus montrouzieri Mulsant, 1853",3055533,gbif:1043717,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cryptolaemus,Cryptolaemus montrouzieri,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1043716,Cryptolaemus,Cryptolaemus montrouzieri,"Mulsant, 1853",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206107141|164301260
1043978,"Stelidota geminata (Say, 1825)",10684378,gbif:1043978,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota,Stelidota geminata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1043977,Stelidota,Stelidota geminata,"(Say, 1825) ",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301236
1045323,"Pycnomerus sulcicollis LeConte, 1863",9553965,gbif:1045323,Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Pycnomerus,Pycnomerus sulcicollis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1045316,Pycnomerus,Pycnomerus sulcicollis,"LeConte, 1863",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109663
1047536,"Leptinotarsa decemlineata (Say, 1824)",6193681,gbif:1047536,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,Leptinotarsa decemlineata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,7587586,Leptinotarsa,Leptinotarsa decemlineata,"(Say, 1824) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206108723|164301253
1095946,"Reesa vespulae (Milliron, 1939)",9687553,gbif:1095946,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Reesa,Reesa vespulae,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1095945,Reesa,Reesa vespulae,"(Milliron, 1939) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102183
1111797,"Chlorophorus annularis (Fabricius, 1787)",2411624,gbif:1111797,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Chlorophorus,Chlorophorus annularis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1111662,Chlorophorus,Chlorophorus annularis,"(Fabricius, 1787) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206110144
1119292,"Morimus asper (Sulzer, 1776)",7178140,gbif:1119292,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,Morimus asper,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1119278,Morimus,Morimus asper,"(Sulzer, 1776) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107520
1133603,"Batocera lineolata Chevrolat, 1852",1383968,gbif:1133603,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Batocera,Batocera lineolata,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1133595,Batocera,Batocera lineolata,"Chevrolat, 1852",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112854
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",1819742,gbif:1152186,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Callidiellum,Callidiellum rufipennis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1152185,Callidiellum,Callidiellum rufipennis,"(Motschulsky, 1861) ",SCIENTIFIC,SPECIES,ACCEPTED,,,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed|1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,206105093|164301247
1194885,"Otiorhynchus meridionalis Gyllenhal, 1834",7967209,gbif:1194885,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus meridionalis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1194803,Otiorhynchus,Otiorhynchus meridionalis,"Gyllenhal, 1834",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243
1194989,"Otiorhynchus cribricollis Gyllenhal, 1834",7964761,gbif:1194989,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,Otiorhynchus cribricollis,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,1194803,Otiorhynchus,Otiorhynchus cribricollis,"Gyllenhal, 1834",SCIENTIFIC,SPECIES,ACCEPTED,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301244
