key,scientificName,canonicalName,authorship,rank,taxonomicStatus,kingdom,phylum,class,order,family,genus,species,parentKey,parent,acceptedKey,accepted,source
5666,Gekkonidae,Gekkonidae,,FAMILY,ACCEPTED,Animalia,Chordata,Squamata,,Gekkonidae,,,11592253,Squamata,,,unified checklist
1002621,"Keratella tropica (Apstein, 1907)",Keratella tropica,"(Apstein, 1907)",SPECIES,ACCEPTED,Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,Keratella tropica,1002582,Keratella,,,unified checklist
1003567,"Pectinatella magnifica (Leidy, 1851)",Pectinatella magnifica,"(Leidy, 1851)",SPECIES,ACCEPTED,Animalia,Bryozoa,Phylactolaemata,Plumatellida,Pectinatellidae,Pectinatella,Pectinatella magnifica,1003566,Pectinatella,,,unified checklist
1007512,"Pacificincola perforata (Okada & Mawatari, 1937)",Pacificincola perforata,"(Okada & Mawatari, 1937)",SPECIES,ACCEPTED,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Pacificincolidae,Pacificincola,Pacificincola perforata,1007511,Pacificincola,,,unified checklist
1007534,"Phaeostachys spinifera (Johnston, 1847)",Phaeostachys spinifera,"(Johnston, 1847)",SPECIES,ACCEPTED,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Escharinidae,Phaeostachys,Phaeostachys spinifera,1007533,Phaeostachys,,,unified checklist
1008610,"Haplopoma graniferum (Johnston, 1847)",Haplopoma graniferum,"(Johnston, 1847)",SPECIES,ACCEPTED,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,Haplopoma graniferum,1008605,Haplopoma,,,unified checklist
1008612,"Haplopoma impressum (Audouin, 1826)",Haplopoma impressum,"(Audouin, 1826)",SPECIES,ACCEPTED,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,Haplopoma impressum,1008605,Haplopoma,,,unified checklist
1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000",Fenestrulina delicia,"Winston, Hayward & Craig, 2000",SPECIES,ACCEPTED,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Fenestrulinidae,Fenestrulina,Fenestrulina delicia,1008901,Fenestrulina,,,unified checklist
1010644,"Hanseniella caldaria (Hansen, 1903)",Hanseniella caldaria,"(Hansen, 1903)",SPECIES,ACCEPTED,Animalia,Arthropoda,Symphyla,,Scutigerellidae,Hanseniella,Hanseniella caldaria,1010637,Hanseniella,,,unified checklist
1013526,"Cylindroiulus britannicus (Verhoeff, 1891)",Cylindroiulus britannicus,"(Verhoeff, 1891)",SPECIES,ACCEPTED,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,Cylindroiulus britannicus,1013523,Cylindroiulus,,,unified checklist
1014565,"Amphitomeus attemsi (Schubart, 1934)",Amphitomeus attemsi,"(Schubart, 1934)",SPECIES,ACCEPTED,Animalia,Arthropoda,Diplopoda,Polydesmida,Oniscodesmidae,Amphitomeus,Amphitomeus attemsi,1014564,Amphitomeus,,,unified checklist
1016841,"Orthomorpha coarctata (Saussure, 1860)",Orthomorpha coarctata,"(Saussure, 1860)",SPECIES,ACCEPTED,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Orthomorpha,Orthomorpha coarctata,1017490,Orthomorpha,,,unified checklist
1017419,"Oxidus gracilis (C.L.Koch, 1847)",Oxidus gracilis,"(C.L.Koch, 1847)",SPECIES,ACCEPTED,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,Oxidus gracilis,1017418,Oxidus,,,unified checklist
1031394,"Ectopsocus petersi Smithers, 1978",Ectopsocus petersi,"Smithers, 1978",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus petersi,1031392,Ectopsocus,,,unified checklist
1031400,"Ectopsocus briggsi McLachlan, 1899",Ectopsocus briggsi,"McLachlan, 1899",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus briggsi,1031392,Ectopsocus,,,unified checklist
1031512,"Liposcelis brunnea Motschulsky, 1852",Liposcelis brunnea,"Motschulsky, 1852",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis brunnea,1031505,Liposcelis,,,unified checklist
1031520,"Liposcelis bostrychophila Badonnel, 1931",Liposcelis bostrychophila,"Badonnel, 1931",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis bostrychophila,1031505,Liposcelis,,,unified checklist
1031524,"Liposcelis paeta Pearman, 1942",Liposcelis paeta,"Pearman, 1942",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,Liposcelis paeta,1031505,Liposcelis,,,unified checklist
1031564,"Psoquilla marginepunctata Hagen, 1865",Psoquilla marginepunctata,"Hagen, 1865",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Psoquillidae,Psoquilla,Psoquilla marginepunctata,1031563,Psoquilla,,,unified checklist
1031677,"Trogium pulsatorium (Linnaeus, 1758)",Trogium pulsatorium,"(Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Trogium,Trogium pulsatorium,1031676,Trogium,,,unified checklist
1031680,"Cerobasis annulata (Hagen, 1865)",Cerobasis annulata,"(Hagen, 1865)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Cerobasis,Cerobasis annulata,1031678,Cerobasis,,,unified checklist
1031684,"Lepinotus patruelis Pearman, 1931",Lepinotus patruelis,"Pearman, 1931",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,Lepinotus patruelis,1031683,Lepinotus,,,unified checklist
1031685,"Lepinotus reticulatus Enderlein, 1904",Lepinotus reticulatus,"Enderlein, 1904",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,Lepinotus reticulatus,1031683,Lepinotus,,,unified checklist
1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872",Psyllipsocus ramburii,"Selys-Longchamps, 1872",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Psyllipsocus,Psyllipsocus ramburii,1031736,Psyllipsocus,,,unified checklist
1031742,"Dorypteryx domestica (Smithers, 1958)",Dorypteryx domestica,"(Smithers, 1958)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,Dorypteryx domestica,1031741,Dorypteryx,,,unified checklist
1031743,"Dorypteryx pallida Aaron, 1883",Dorypteryx pallida,"Aaron, 1883",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Dorypteryx,Dorypteryx pallida,1031741,Dorypteryx,,,unified checklist
1032262,"Enderleinellus kumadai Kaneko, 1954",Enderleinellus kumadai,"Kaneko, 1954",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Enderleinellidae,Enderleinellus,Enderleinellus kumadai,1032231,Enderleinellus,,,unified checklist
1032377,"Hoplopleura erismata Ferris, 1921",Hoplopleura erismata,"Ferris, 1921",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Psocodea,Hoplopleuridae,Hoplopleura,Hoplopleura erismata,1032305,Hoplopleura,,,unified checklist
1043717,"Cryptolaemus montrouzieri Mulsant, 1853",Cryptolaemus montrouzieri,"Mulsant, 1853",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cryptolaemus,Cryptolaemus montrouzieri,1043716,Cryptolaemus,,,unified checklist
1043978,"Stelidota geminata (Say, 1825)",Stelidota geminata,"(Say, 1825)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Stelidota,Stelidota geminata,1043977,Stelidota,,,unified checklist
1045323,"Pycnomerus sulcicollis LeConte, 1863",Pycnomerus sulcicollis,"LeConte, 1863",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Pycnomerus,Pycnomerus sulcicollis,1045316,Pycnomerus,,,unified checklist
1047343,"Callosobruchus maculatus (Fabricius, 1775)",Callosobruchus maculatus,"(Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Callosobruchus,Callosobruchus maculatus,1047339,Callosobruchus,,,unified checklist
1047525,"Acanthoscelides obtectus (Say, 1831)",Acanthoscelides obtectus,"(Say, 1831)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Acanthoscelides,Acanthoscelides obtectus,1047479,Acanthoscelides,,,unified checklist
1047536,"Leptinotarsa decemlineata (Say, 1824)",Leptinotarsa decemlineata,"(Say, 1824)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa,Leptinotarsa decemlineata,7587586,Leptinotarsa,,,unified checklist
1080709,"Protaetia morio (Fabricius, 1781)",Protaetia morio,"(Fabricius, 1781)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia morio,1080110,Protaetia,,,unified checklist
1095946,"Reesa vespulae (Milliron, 1939)",Reesa vespulae,"(Milliron, 1939)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Reesa,Reesa vespulae,1095945,Reesa,,,unified checklist
1102800,"Penichroa fasciata (Stephens, 1831)",Penichroa fasciata,"(Stephens, 1831)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Penichroa,Penichroa fasciata,1102799,Penichroa,,,unified checklist
1111797,"Chlorophorus annularis (Fabricius, 1787)",Chlorophorus annularis,"(Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Chlorophorus,Chlorophorus annularis,1111662,Chlorophorus,,,unified checklist
1112380,"Mallodon downesii Hope, 1843",Mallodon downesii,"Hope, 1843",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Mallodon,Mallodon downesii,1160848,Mallodon,,,unified checklist
1119292,"Morimus asper (Sulzer, 1776)",Morimus asper,"(Sulzer, 1776)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Morimus,Morimus asper,1119278,Morimus,,,unified checklist
1133603,"Batocera lineolata Chevrolat, 1852",Batocera lineolata,"Chevrolat, 1852",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Batocera,Batocera lineolata,1133595,Batocera,,,unified checklist
1146023,"Aegosoma scabricorne (Scopoli, 1763)",Aegosoma scabricorne,"(Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Aegosoma,Aegosoma scabricorne,1145989,Aegosoma,,,unified checklist
1152186,"Callidiellum rufipennis (Motschulsky, 1861)",Callidiellum rufipennis,"(Motschulsky, 1861)",SPECIES,ACCEPTED,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Callidiellum,Callidiellum rufipennis,1152185,Callidiellum,,,unified checklist
