locationId	locality	country	status	first_observed	last_observed	establishmentMeans	source	verification_key	checklist_datasetKey
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2e3	2016	INTRODUCED	Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97	5199161	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2002	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	9442679	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2010	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	4812260	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1996	2016	INTRODUCED	Seys J, Vincx M, Meire P (1999) Spatial distribution of oligochaetes (Clitellata) in the tidal freshwater and brackish parts of the Schelde estuary (Belgium). In: Aquatic Oligochaetes, Springer Netherlands, pp 119–132	4410088	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1931	2016	INTRODUCED	Damas H (1938) Sur la presence dans la Meuse belge de Branchiura sowerbyi, Craspedacusta sowerbyi, et Urnatella gracilis. Annalles de Societé Zoologique Belge 69: 293–310	2308574	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2009	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	2308605	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2006	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	9479629	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2008	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	4410056	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2009	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	2308541	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2002	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	4410150	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1995	2016	INTRODUCED	Ysebaert T, Meire P, De Block M, De Regge N, Soors J (1997) A first record of Marenzelleria viridis (Verril, 1873) (Polychaeta, Spionidae) in the Schelde estuary (Belgium). Biologisch Jaarboek (Dodonaea) 64: 176–181	2321012	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2008	2016	INTRODUCED	Soors J, van Haaren T, Timm T, Speybroeck J (2013) Bratislavia dadayi (Michaelsen, 1905) (Annelida: Clitellata: Naididae): a new non-indigenous species for Europe, and other non-native annelids in the Schelde estuary. Aquatic Invasions 8: 37–44, https://doi.org/10.3391/ai.2013.8.1.04	2321010	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1950	2016	INTRODUCED	Leloup E, Lefevere S (1952) Sur la présence dans les eaux de la côte belge du cirripède, Elminius modestus Darwin, 1854, du copepode parasite, Mytilicola intestinalis Steuer, 1902, et du polychète, Mercierella enigmatica Fauvel, 1922. Mededelingen Koninklijk Belgisch Instituut voor Natuur Wetenschappen 28: 1–12	2327735	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2014	2016	INTRODUCED	Boets P, Brosens D, Lock K, Adriaens T, Aelterman B, Mertens J & Goethals P. 2016. Alien macroinvertebrates in Flanders (Belgium). Aquatic Invasions 11 (2): 131–144. https://doi.org/10.3391/ai.2016.11.2.03	7009279	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	2001	2016	INTRODUCED	Vercauteren T, De Smedt S, Warmoes T, Goddeeris B, Wouters K (2005) Drie nieuwe Ponto-Kaspische inwijkelingen dringen door tot in kanalen in de provincie Antwerpen: de zoetwaterpolychaet Hypania invalida (Grube, 1860) en, voor het eerst in België, de platworm Dendrocoelum romanodanubiale (Codreanu, 1949) en de Donaupissebed Jaera istri Veuille, 1979. In: Nieuwborg H (ed), Natuurstudie in de provincie Antwerpen. Antwerpse Koepel voor Natuurstudie (ANKONA) Jaarboek 2003, pp 83–97	4344674	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1987	2016	INTRODUCED	Kerckhof F, Dumoulin E (1987) Eerste vondsten van de Amerikaanse zwaardschede Ensis directus (Conrad, 1843) langs de Belgische kust. De Strandvlo 7: 51–52	2287249	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1924	2016	INTRODUCED	Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp	5777912	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1927	2016	INTRODUCED	Adam W (1947) Revision des Mollusques de la Belgique. I Mollusques terrestres et dulcicoles. Mémoires du Musée Royal d’Histoire Naturelle de Belgique, 106, 297 pp	5192470	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1911	2016	INTRODUCED	Adam W, Leloup E (1934) Sur la présence du gastéropode Crepidula fornicata (Linné, 1758) sur la côte belge. Bulletin du Musée royal d'Histoire naturelle de Belgique 10: 1–5	5192789	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1700	2016	INTRODUCED	Kerckhof F, Haelters J, Gollasch S (2007) Alien species in the marine and brackish ecosystem: the situation in Belgian waters. Aquatic Invasions 2: 243–257, https://doi.org/10.3391/ai.2007.2.3.9	7791733	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1730	1732	INTRODUCED	Sellius G (1733) Historia naturalis teredinis seu xylophagi marini tubulochonchoidis speciatim Belgici, Trajecti ad Rhenum, p 366	2288847	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1600	2016	INTRODUCED	Backeljau T (1986) Lijst van de recente mariene mollusken van België. Studiedocumenten van het K.B.I.N. 29. Koninklijk Belgisch Instituut voor Natuurwetenschappen: Brussel, 106 pp	2288859	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1999	2016	INTRODUCED	Keppens M, Mienis HK (2004) A propos de la présence de Sinanodonta woodiana (Lea, 1834) en Belgique. Novapex Société 5: 78–81	4559541	289244ee-e1c1-49aa-b2d7-d379391ce265
ISO_3166-2:BE-VLG	Flemish Region	BE	PRESENT	1992	2016	INTRODUCED	Swinnen F, Leynen M, Sablon R, Duvivier L, Vanmaele R (1998) The Asiatic clam Corbicula (Bivalvia: Corbiculidae) in Belgium. Biologie 68: 47–53	8190231	289244ee-e1c1-49aa-b2d7-d379391ce265
