checklist_key	checklist_scientificName	checklist_datasetKey	backbone_taxonKey	backbone_scientificName	backbone_species	backbone_genus	backbone_family	backbone_order	backbone_class	backbone_phylum	backbone_kingdom	backbone_rank	backbone_speciesKey	backbone_taxonomicStatus	backbone_acceptedKey	backbone_acceptedName	backbone_issues
140562891	Hypania invalida	289244ee-e1c1-49aa-b2d7-d379391ce265	5199161	Hypania invalida (Grube, 1860)	Hypania invalida	Hypania	Ampharetidae	Terebellida	Polychaeta	Annelida	Animalia	SPECIES	5199161	ACCEPTED			ORIGINAL_NAME_DERIVED
140562894	Bratislavia dadayi	289244ee-e1c1-49aa-b2d7-d379391ce265	9442679	Bratislavia dadayi (Michaelsen, 1905)	Bratislavia dadayi	Bratislavia	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	9442679	ACCEPTED			ORIGINAL_NAME_DERIVED
140562895	Branchiodrilus hortensis	289244ee-e1c1-49aa-b2d7-d379391ce265	4812260	Branchiodrilus hortensis (Stephenson, 1910)	Branchiodrilus hortensis	Branchiodrilus	Opistocystidae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	4812260	ACCEPTED			ORIGINAL_NAME_DERIVED
140562897	Quistadrilus multisetosus	289244ee-e1c1-49aa-b2d7-d379391ce265	4410088	Quistadrilus multisetosus (Smith, 1900)	Quistadrilus multisetosus	Quistadrilus	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	4410088	ACCEPTED			NULL
140562898	Branchiura sowerbyi	289244ee-e1c1-49aa-b2d7-d379391ce265	2308574	Branchiura sowerbyi Beddard, 1892	Branchiura sowerbyi	Branchiura	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	2308574	ACCEPTED			NULL
140562899	Potamothrix vejdovskyi	289244ee-e1c1-49aa-b2d7-d379391ce265	2308605	Potamothrix vejdovskyi (Hrab, 1941)	Potamothrix vejdovskyi	Potamothrix	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	2308605	ACCEPTED			NULL
140562900	Tasserkidrilus americanus	289244ee-e1c1-49aa-b2d7-d379391ce265	9479629	Tasserkidrilus americanus (Brinkhurst & Cook, 1966)	Tasserkidrilus americanus	Tasserkidrilus	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	9479629	ACCEPTED			ORIGINAL_NAME_DERIVED
140562901	Psammoryctides moravicus	289244ee-e1c1-49aa-b2d7-d379391ce265	4410056	Psammoryctides moravicus (Hrab, 1934)	Psammoryctides moravicus	Psammoryctides	Opistocystidae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	4410056	ACCEPTED			NULL
140562902	Limnodrilus cervix	289244ee-e1c1-49aa-b2d7-d379391ce265	2308541	Limnodrilus cervix Brinkhurst, 1963	Limnodrilus cervix	Limnodrilus	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	2308541	ACCEPTED			NULL
140562903	Monopylephorus limosus	289244ee-e1c1-49aa-b2d7-d379391ce265	4410150	Monopylephorus limosus (Hatai, 1898)	Monopylephorus limosus	Monopylephorus	Naididae	Haplotaxida	Clitellata	Annelida	Animalia	SPECIES	4410150	ACCEPTED			NULL
140562906	Marenzelleria viridis	289244ee-e1c1-49aa-b2d7-d379391ce265	2321012	Marenzelleria viridis (Verrill, 1873)	Marenzelleria viridis	Marenzelleria	Spionidae	Spionida	Polychaeta	Annelida	Animalia	SPECIES	2321012	ACCEPTED			NULL
140562907	Marenzelleria neglecta	289244ee-e1c1-49aa-b2d7-d379391ce265	2321010	Marenzelleria neglecta Sikorski & Bick, 2004	Marenzelleria neglecta	Marenzelleria	Spionidae	Spionida	Polychaeta	Annelida	Animalia	SPECIES	2321010	ACCEPTED			NULL
140562910	Ficopomatus enigmaticus	289244ee-e1c1-49aa-b2d7-d379391ce265	2327735	Ficopomatus enigmaticus (Fauvel, 1923)	Ficopomatus enigmaticus	Ficopomatus	Serpulidae	Sabellida	Polychaeta	Annelida	Animalia	SPECIES	2327735	ACCEPTED			ORIGINAL_NAME_DERIVED
140562912	Laonome calida	289244ee-e1c1-49aa-b2d7-d379391ce265	7009279	Laonome calida Capa, 2007	Laonome calida	Laonome	Sabellidae	Sabellida	Polychaeta	Annelida	Animalia	SPECIES	7009279	ACCEPTED			NULL
140562916	Dugesia tigrina	289244ee-e1c1-49aa-b2d7-d379391ce265	2502879	Dugesia tigrina (Girard, 1850)	Girardia tigrina	Girardia	Dugesiidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	5892120	SYNONYM	5892120	Girardia tigrina (Girard, 1850)	NULL
140562918	Dendrocoelum romanodanubiale	289244ee-e1c1-49aa-b2d7-d379391ce265	4344674	Dendrocoelum romanodanubiale (Codreanu, 1949)	Dendrocoelum romanodanubiale	Dendrocoelum	Dendrocoelidae	Tricladida	Rhabditophora	Platyhelminthes	Animalia	SPECIES	4344674	ACCEPTED			NULL
140562922	Ensis directus	289244ee-e1c1-49aa-b2d7-d379391ce265	2287249	Ensis directus (Conrad, 1844)	Ensis directus	Ensis	Pharidae	Adapedonta	Bivalvia	Mollusca	Animalia	SPECIES	2287249	ACCEPTED			NULL
140562925	Lithoglyphus naticoides	289244ee-e1c1-49aa-b2d7-d379391ce265	5777912	Lithoglyphus naticoides (C.Pfeiffer, 1828)	Lithoglyphus naticoides	Lithoglyphus	Lithoglyphidae	Littorinimorpha	Gastropoda	Mollusca	Animalia	SPECIES	5777912	ACCEPTED			NULL
140562926	Potamopyrgus antipodarum	289244ee-e1c1-49aa-b2d7-d379391ce265	5192470	Potamopyrgus antipodarum (Gray, 1843)	Potamopyrgus antipodarum	Potamopyrgus	Tateidae	Littorinimorpha	Gastropoda	Mollusca	Animalia	SPECIES	5192470	ACCEPTED			NULL
140562929	Crepidula fornicata	289244ee-e1c1-49aa-b2d7-d379391ce265	5192789	Crepidula fornicata (Linnaeus, 1758)	Crepidula fornicata	Crepidula	Calyptraeidae	Littorinimorpha	Gastropoda	Mollusca	Animalia	SPECIES	5192789	ACCEPTED			NULL
140562932	Mya arenaria	289244ee-e1c1-49aa-b2d7-d379391ce265	7791733	Mya arenaria Linnaeus, 1758	Mya arenaria	Mya	Myidae	Myida	Bivalvia	Mollusca	Animalia	SPECIES	7791733	ACCEPTED			NULL
140562934	Teredo navalis	289244ee-e1c1-49aa-b2d7-d379391ce265	2288847	Teredo navalis Linnaeus, 1758	Teredo navalis	Teredo	Teredinidae	Myida	Bivalvia	Mollusca	Animalia	SPECIES	2288847	ACCEPTED			NULL
140562935	Psiloteredo megotara	289244ee-e1c1-49aa-b2d7-d379391ce265	2288859	Psiloteredo megotara (Hanley, 1848)	Psiloteredo megotara	Psiloteredo	Teredinidae	Myida	Bivalvia	Mollusca	Animalia	SPECIES	2288859	ACCEPTED			ORIGINAL_NAME_DERIVED
140562938	Sinanodonta woodiana	289244ee-e1c1-49aa-b2d7-d379391ce265	4559541	Sinanodonta woodiana (I.Lea, 1834)	Sinanodonta woodiana	Sinanodonta	Unionidae	Unionida	Bivalvia	Mollusca	Animalia	SPECIES	4559541	ACCEPTED			NULL
140562941	Corbicula fluminea	289244ee-e1c1-49aa-b2d7-d379391ce265	8190231	Corbicula fluminea (O.F.Müller, 1774)	Corbicula fluminea	Corbicula	Cyrenidae	Venerida	Bivalvia	Mollusca	Animalia	SPECIES	8190231	ACCEPTED			NULL
140562942	Corbicula fluminalis	289244ee-e1c1-49aa-b2d7-d379391ce265	5189032	Corbicula fluminalis (O.F.Müller, 1774)	Corbicula fluminalis	Corbicula	Cyrenidae	Venerida	Bivalvia	Mollusca	Animalia	SPECIES	5189032	ACCEPTED			NULL
140562944	Mytilopsis leucophaeata	289244ee-e1c1-49aa-b2d7-d379391ce265	2287076	Mytilopsis leucophaeata (Conrad, 1831)	Mytilopsis leucophaeata	Mytilopsis	Dreissenidae	Myida	Bivalvia	Mollusca	Animalia	SPECIES	2287076	ACCEPTED			NULL
140562945	Dreissena rostriformis bugensis	289244ee-e1c1-49aa-b2d7-d379391ce265	4371624	Dreissena rostriformis bugensis Andrusov, 1897	Dreissena bugensis	Dreissena	Dreissenidae	Myida	Bivalvia	Mollusca	Animalia	SUBSPECIES	2287073	SYNONYM	2287073	Dreissena bugensis (Andrusov, 1897)	NULL
140562946	Dreissena polymorpha	289244ee-e1c1-49aa-b2d7-d379391ce265	2287072	Dreissena polymorpha (Pallas, 1771)	Dreissena polymorpha	Dreissena	Dreissenidae	Myida	Bivalvia	Mollusca	Animalia	SPECIES	2287072	ACCEPTED			NULL
140562948	Mercenaria mercenaria	289244ee-e1c1-49aa-b2d7-d379391ce265	2287668	Mercenaria mercenaria (Linnaeus, 1758)	Mercenaria mercenaria	Mercenaria	Veneridae	Venerida	Bivalvia	Mollusca	Animalia	SPECIES	2287668	ACCEPTED			NULL
140562949	Petricolaria pholadiformis	289244ee-e1c1-49aa-b2d7-d379391ce265	2287615	Petricolaria pholadiformis (Lamarck, 1818)	Petricolaria pholadiformis	Petricolaria	Veneridae	Venerida	Bivalvia	Mollusca	Animalia	SPECIES	2287615	ACCEPTED			NULL
140562951	Rangia cuneata	289244ee-e1c1-49aa-b2d7-d379391ce265	5188971	Rangia cuneata (G.B.Sowerby I, 1832)	Rangia cuneata	Rangia	Mactridae	Venerida	Bivalvia	Mollusca	Animalia	SPECIES	5188971	ACCEPTED			NULL
140562954	Physella acuta	289244ee-e1c1-49aa-b2d7-d379391ce265	5189806	Physella acuta (Draparnaud, 1805)	Physa acuta	Physa	Physidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	2291118	SYNONYM	2291118	Physa acuta Draparnaud, 1805	NULL
140562956	Ferrissia fragilis	289244ee-e1c1-49aa-b2d7-d379391ce265	2291152	Ferrissia fragilis (Tryon, 1863)	Ferrissia californica	Ferrissia	Planorbidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	9520065	SYNONYM	9520065	Ferrissia californica (Rowell, 1863)	ORIGINAL_NAME_DERIVED
140562957	Menetus dilatatus	289244ee-e1c1-49aa-b2d7-d379391ce265	5189713	Menetus dilatatus (Gould, 1841)	Menetus dilatatus	Menetus	Planorbidae	Hygrophila	Gastropoda	Mollusca	Animalia	SPECIES	5189713	ACCEPTED			NULL
140562960	Crassostrea gigas	289244ee-e1c1-49aa-b2d7-d379391ce265	2286069	Crassostrea gigas (Thunberg, 1793)	Magallana gigas	Magallana	Ostreidae	Ostreida	Bivalvia	Mollusca	Animalia	SPECIES	7820753	SYNONYM	7820753	Magallana gigas (Thunberg, 1793)	NULL
140562964	Limnomysis benedeni	289244ee-e1c1-49aa-b2d7-d379391ce265	2220347	Limnomysis benedeni Czerniavsky, 1882	Limnomysis benedeni	Limnomysis	Mysidae	Mysida	Malacostraca	Arthropoda	Animalia	SPECIES	2220347	ACCEPTED			NULL
