taxonID,description,type,language,source
https://www.gbif.org/species/10071055,Europe,native range,en,"https://www.gbif.org/species/141265441: Sorbus intermedia (Ehrh.) Pers. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10108775,Europe,native range,en,"https://www.gbif.org/species/141265218: Inula spiraeifolia L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10269496,Australia and New Zealand,native range,en,"https://www.gbif.org/species/164301238: Epuraea imperialis (Reitter, 1877) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/1032262,Southern Asia,native range,en,"https://www.gbif.org/species/164301224: Enderleinellus kumadai Kaneko, 1954 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/1032377,Southern Asia,native range,en,"https://www.gbif.org/species/164301227: Hoplopleura erismata Ferris, 1921 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/10329298,Southern Europe,native range,en,"https://www.gbif.org/species/164300984: Haplodrassus securifer Bosmans & Abrous, 2018 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/1043717,Australia and New Zealand,native range,en,"https://www.gbif.org/species/164301260: Cryptolaemus montrouzieri Mulsant, 1853 in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/1047536,Northern America,native range,en,"https://www.gbif.org/species/164301253: Leptinotarsa decemlineata (Say, 1824) in Reyserhove L, Groom Q, Adriaens T, Desmet P, Dekoninck W, Van Keer K, Lock K (2025). Ad hoc checklist of alien species in Belgium. Version 1.9. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/3pmlxs"
https://www.gbif.org/species/10629881,Europe,native range,en,"https://www.gbif.org/species/141265098: Inula hirta L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10676000,Asia,native range,en,"https://www.gbif.org/species/146042154: Acroptilon repens in Zieritz A, Gallardo B, Baker S J, Britton R, van Valkenburg J L, Verreycken H, Aldridge D, Desmet P, Reyserhove L (2021). RINSE - Pathways and vectors of biological invasions in Northwest Europe. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/guejza"
https://www.gbif.org/species/10676000,Eastern Asia,native range,en,"https://www.gbif.org/species/141265272: Rhaponticum repens (L.) Hidalgo in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10676000,Eastern Europe,native range,en,"https://www.gbif.org/species/141265272: Rhaponticum repens (L.) Hidalgo in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10676000,Europe,native range,en,"https://www.gbif.org/species/141265272: Rhaponticum repens (L.) Hidalgo in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10701161,Asia,native range,en,"https://www.gbif.org/species/180661039: Pachytriton labiatus (Unterstein, 1930) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
https://www.gbif.org/species/10730110,Australia and New Zealand,native range,en,"https://www.gbif.org/species/141265040: Crassula peduncularis (Smith) F. Meigen in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10730110,South America,native range,en,"https://www.gbif.org/species/141265040: Crassula peduncularis (Smith) F. Meigen in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10755213,Europe,native range,en,"https://www.gbif.org/species/141267245: Narcissus obvallaris Salisb. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10773250,Africa,native range,en,"https://www.gbif.org/species/141266700: Melilotus messanensis (L.) All. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10773250,Eastern Asia,native range,en,"https://www.gbif.org/species/141266700: Melilotus messanensis (L.) All. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10773250,Eastern Europe,native range,en,"https://www.gbif.org/species/141266700: Melilotus messanensis (L.) All. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10773250,Europe,native range,en,"https://www.gbif.org/species/141266700: Melilotus messanensis (L.) All. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10786206,Eastern Asia,native range,en,"https://www.gbif.org/species/141265462: Eriobotrya japonica (Thunb.) Lindl. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10786206,Eastern Europe,native range,en,"https://www.gbif.org/species/141265462: Eriobotrya japonica (Thunb.) Lindl. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10801424,Eastern Asia,native range,en,"https://www.gbif.org/species/141266212: Perovskia atriplicifolia Benth. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10801424,Eastern Europe,native range,en,"https://www.gbif.org/species/141266212: Perovskia atriplicifolia Benth. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10852031,Africa,native range,en,"https://www.gbif.org/species/168400497: Oncosiphon piluliferum (L.f.) Källersjö in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10857535,Asia,native range,en,"https://www.gbif.org/species/213158981: Dryophytes japonicus (Günther, 1859) in van Doorn L, Reyserhove L, Speybroeck J, Adriaens T, Govaert S (2024). Checklist of alien herpetofauna of Belgium. Version 1.4. Research Institute for Nature and Forest (INBO). Checklist dataset https://doi.org/10.15468/pnxu4c"
https://www.gbif.org/species/10902460,Africa,native range,en,"https://www.gbif.org/species/141266281: Rosmarinus officinalis L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10902460,Eastern Asia,native range,en,"https://www.gbif.org/species/141266281: Rosmarinus officinalis L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10902460,Eastern Europe,native range,en,"https://www.gbif.org/species/141266281: Rosmarinus officinalis L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10902460,Europe,native range,en,"https://www.gbif.org/species/141266281: Rosmarinus officinalis L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10944522,Eastern Asia,native range,en,"https://www.gbif.org/species/141266037: Thlaspi alliaceum L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10944522,Eastern Europe,native range,en,"https://www.gbif.org/species/141266037: Thlaspi alliaceum L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10944522,Europe,native range,en,"https://www.gbif.org/species/141266037: Thlaspi alliaceum L. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10948891,Australia and New Zealand,native range,en,"https://www.gbif.org/species/141265074: Podolepis auriculata DC. in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
https://www.gbif.org/species/10953644,Africa,native range,en,"https://www.gbif.org/species/141267218: Silene baccifera (L.) Roth in Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2025). Manual of the Alien Plants of Belgium. Version 1.12. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m"
