language,license,rightsHolder,bibliographicCitation,datasetID,institutionCode,datasetName,references,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonomicStatus,taxonRemarks
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1002621: Keratella tropica (Apstein, 1907) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1002621,https://www.gbif.org/species/1002621,https://www.gbif.org/species/1002621,"Keratella tropica (Apstein, 1907)","Keratella tropica (Apstein, 1907)",Animalia,Rotifera,Eurotatoria,Ploima,Brachionidae,Keratella,tropica,,SPECIES,"(Apstein, 1907)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.14284/347
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1007534: Phaeostachys spinifera (Johnston, 1847) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1007534,https://www.gbif.org/species/1007534,https://www.gbif.org/species/1007534,"Phaeostachys spinifera (Johnston, 1847)","Phaeostachys spinifera (Johnston, 1847)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Escharinidae,Phaeostachys,spinifera,,SPECIES,"(Johnston, 1847)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.14284/347
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1008610: Haplopoma graniferum (Johnston, 1847) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1008610,https://www.gbif.org/species/1008610,https://www.gbif.org/species/1008610,"Haplopoma graniferum (Johnston, 1847)","Haplopoma graniferum (Johnston, 1847)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,graniferum,,SPECIES,"(Johnston, 1847)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.14284/347
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1008612: Haplopoma impressum (Audouin, 1826) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1008612,https://www.gbif.org/species/1008612,https://www.gbif.org/species/1008612,"Haplopoma impressum (Audouin, 1826)","Haplopoma impressum (Audouin, 1826)",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Haplopomidae,Haplopoma,impressum,,SPECIES,"(Audouin, 1826)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.14284/347
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1008955: Fenestrulina delicia Winston, Hayward & Craig, 2000 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1008955,https://www.gbif.org/species/1008955,https://www.gbif.org/species/1008955,"Fenestrulina delicia Winston, Hayward & Craig, 2000","Fenestrulina delicia Winston, Hayward & Craig, 2000",Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Fenestrulinidae,Fenestrulina,delicia,,SPECIES,"Winston, Hayward & Craig, 2000",ACCEPTED,Sources considered for this taxon: https://doi.org/10.14284/347
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1010644: Hanseniella caldaria (Hansen, 1903) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1010644,https://www.gbif.org/species/1010644,https://www.gbif.org/species/1010644,"Hanseniella caldaria (Hansen, 1903)","Hanseniella caldaria (Hansen, 1903)",Animalia,Arthropoda,Symphyla,,Scutigerellidae,Hanseniella,caldaria,,SPECIES,"(Hansen, 1903)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1013526: Cylindroiulus britannicus (Verhoeff, 1891) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1013526,https://www.gbif.org/species/1013526,https://www.gbif.org/species/1013526,"Cylindroiulus britannicus (Verhoeff, 1891)","Cylindroiulus britannicus (Verhoeff, 1891)",Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,britannicus,,SPECIES,"(Verhoeff, 1891)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,https://www.gbif.org/species/10172912: Cerastium arvense subsp. arvense x tomentosum in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei,https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/10172912,https://www.gbif.org/species/10172912,https://www.gbif.org/species/10172912,Cerastium arvense subsp. arvense x tomentosum,Cerastium arvense subsp. arvense x tomentosum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,,,SPECIES,,ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/wtda1m
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/10269496: Epuraea imperialis (Reitter, 1877) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/10269496,https://www.gbif.org/species/10269496,https://www.gbif.org/species/10269496,"Epuraea imperialis (Reitter, 1877)","Epuraea imperialis (Reitter, 1877)",Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Epuraea,imperialis,,SPECIES,"(Reitter, 1877)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031394: Ectopsocus petersi Smithers & Courtenay, 1978 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031394,https://www.gbif.org/species/1031394,https://www.gbif.org/species/1031394,"Ectopsocus petersi Smithers & Courtenay, 1978","Ectopsocus petersi Smithers & Courtenay, 1978",Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,petersi,,SPECIES,"Smithers & Courtenay, 1978",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
