key,description,type,language,source
141264581,cultivated origin,native range,en,
141264583,temperate Asia (WGSRPD:3),native range,en,
141264585,Asia,native range,en,
141264585,Australasia (WGSRPD:5),native range,en,
141264587,Pantropical,native range,en,
141264589,Southern America (WGSRPD:8),native range,en,
141264591,Southern America (WGSRPD:8),native range,en,
141264592,Northern America (WGSRPD:7),native range,en,
141264594,Africa (WGSRPD:2),native range,en,
141264594,Europe (WGSRPD:1),native range,en,
141264594,temperate Asia (WGSRPD:3),native range,en,
141264596,Australasia (WGSRPD:5),native range,en,
141264598,Southern America (WGSRPD:8),native range,en,
141264600,Europe (WGSRPD:1),native range,en,
141264600,temperate Asia (WGSRPD:3),native range,en,
141264601,Northern America (WGSRPD:7),native range,en,
141264603,Southern America (WGSRPD:8),native range,en,
141264605,temperate Asia (WGSRPD:3),native range,en,
141264607,Europe (WGSRPD:1),native range,en,
141264608,temperate Asia (WGSRPD:3),native range,en,
141264609,tropical Asia (WGSRPD:4),native range,en,
141264610,Northern America (WGSRPD:7),native range,en,
141264612,temperate Asia (WGSRPD:3),native range,en,
141264614,cultivated origin,native range,en,
141264616,Africa (WGSRPD:2),native range,en,
141264616,Europe (WGSRPD:1),native range,en,
141264616,temperate Asia (WGSRPD:3),native range,en,
141264617,Africa (WGSRPD:2),native range,en,
141264619,Northern America (WGSRPD:7),native range,en,
141264621,Southern America (WGSRPD:8),native range,en,
141264623,pan-American,native range,en,
141264624,Southern America (WGSRPD:8),native range,en,
141264625,Asia,native range,en,
141264625,Europe (WGSRPD:1),native range,en,
141264627,Northern America (WGSRPD:7),native range,en,
141264629,Europe (WGSRPD:1),native range,en,
141264630,Africa (WGSRPD:2),native range,en,
141264630,Europe (WGSRPD:1),native range,en,
141264630,temperate Asia (WGSRPD:3),native range,en,
141264631,Europe (WGSRPD:1),native range,en,
141264633,hybrid origin,native range,en,
141264634,Europe (WGSRPD:1),native range,en,
141264634,temperate Asia (WGSRPD:3),native range,en,
141264635,Europe (WGSRPD:1),native range,en,
141264637,pan-American,native range,en,
141264639,Northern America (WGSRPD:7),native range,en,
141264640,Southern America (WGSRPD:8),native range,en,
141264642,cultivated origin,native range,en,
141264644,Europe (WGSRPD:1),native range,en,
141264644,temperate Asia (WGSRPD:3),native range,en,
141264645,Africa (WGSRPD:2),native range,en,
141264646,Northern America (WGSRPD:7),native range,en,
141264647,Europe (WGSRPD:1),native range,en,
141264647,temperate Asia (WGSRPD:3),native range,en,
141264648,Northern America (WGSRPD:7),native range,en,
141264649,Africa (WGSRPD:2),native range,en,
141264649,Europe (WGSRPD:1),native range,en,
141264649,temperate Asia (WGSRPD:3),native range,en,
141264650,Europe (WGSRPD:1),native range,en,
141264652,Northern America (WGSRPD:7),native range,en,
141264654,Northern America (WGSRPD:7),native range,en,
141264655,pan-American,native range,en,
141264656,Pantropical,native range,en,
141264659,Northern America (WGSRPD:7),native range,en,
141264660,cultivated origin,native range,en,
141264661,temperate Asia (WGSRPD:3),native range,en,
141264663,temperate Asia (WGSRPD:3),native range,en,
141264665,Asia,native range,en,
141264665,Europe (WGSRPD:1),native range,en,
141264666,temperate Asia (WGSRPD:3),native range,en,
141264668,Northern America (WGSRPD:7),native range,en,
141264670,Africa (WGSRPD:2),native range,en,
141264672,temperate Asia (WGSRPD:3),native range,en,
141264673,temperate Asia (WGSRPD:3),native range,en,
141264674,temperate Asia (WGSRPD:3),native range,en,
141264675,temperate Asia (WGSRPD:3),native range,en,
141264677,temperate Asia (WGSRPD:3),native range,en,
141264679,temperate Asia (WGSRPD:3),native range,en,
141264681,Northern America (WGSRPD:7),native range,en,
141264681,temperate Asia (WGSRPD:3),native range,en,
141264683,temperate Asia (WGSRPD:3),native range,en,
141264685,Africa (WGSRPD:2),native range,en,
141264685,Europe (WGSRPD:1),native range,en,
141264685,temperate Asia (WGSRPD:3),native range,en,
141264686,Africa (WGSRPD:2),native range,en,
141264686,Europe (WGSRPD:1),native range,en,
141264687,Europe (WGSRPD:1),native range,en,
141264688,Africa (WGSRPD:2),native range,en,
141264688,Europe (WGSRPD:1),native range,en,
141264690,Africa (WGSRPD:2),native range,en,
141264690,Europe (WGSRPD:1),native range,en,
141264690,temperate Asia (WGSRPD:3),native range,en,
141264691,temperate Asia (WGSRPD:3),native range,en,
141264692,Northern America (WGSRPD:7),native range,en,
141264694,Europe (WGSRPD:1),native range,en,
141264695,pan-American,native range,en,
141264697,temperate Asia (WGSRPD:3),native range,en,
141264699,Europe (WGSRPD:1),native range,en,
141264700,cultivated origin,native range,en,
141264702,Africa (WGSRPD:2),native range,en,
141264702,Europe (WGSRPD:1),native range,en,
141264702,temperate Asia (WGSRPD:3),native range,en,
141264703,Europe (WGSRPD:1),native range,en,
141264705,Northern America (WGSRPD:7),native range,en,
141264706,Africa (WGSRPD:2),native range,en,
141264706,Europe (WGSRPD:1),native range,en,
141264706,temperate Asia (WGSRPD:3),native range,en,
141264708,Europe (WGSRPD:1),native range,en,
141264708,temperate Asia (WGSRPD:3),native range,en,
141264709,Northern America (WGSRPD:7),native range,en,
141264711,Africa (WGSRPD:2),native range,en,
141264711,Europe (WGSRPD:1),native range,en,
141264711,temperate Asia (WGSRPD:3),native range,en,
141264712,Africa (WGSRPD:2),native range,en,
141264712,Europe (WGSRPD:1),native range,en,
141264714,Africa (WGSRPD:2),native range,en,
141264714,Asia,native range,en,
141264714,Europe (WGSRPD:1),native range,en,
141264715,Southern America (WGSRPD:8),native range,en,
141264717,cultivated origin,native range,en,
141264718,temperate Asia (WGSRPD:3),native range,en,
141264719,cultivated origin,native range,en,
141264721,Africa (WGSRPD:2),native range,en,
141264721,Europe (WGSRPD:1),native range,en,
141264722,Europe (WGSRPD:1),native range,en,
141264723,Northern America (WGSRPD:7),native range,en,
141264724,Africa (WGSRPD:2),native range,en,
141264724,Europe (WGSRPD:1),native range,en,
141264724,temperate Asia (WGSRPD:3),native range,en,
141264725,Africa (WGSRPD:2),native range,en,
141264725,Asia,native range,en,
141264725,Europe (WGSRPD:1),native range,en,
141264727,temperate Asia (WGSRPD:3),native range,en,
141264728,Northern America (WGSRPD:7),native range,en,
141264729,temperate Asia (WGSRPD:3),native range,en,
141264730,temperate Asia (WGSRPD:3),native range,en,
141264732,Europe (WGSRPD:1),native range,en,
141264732,temperate Asia (WGSRPD:3),native range,en,
141264734,Northern America (WGSRPD:7),native range,en,
141264735,temperate Asia (WGSRPD:3),native range,en,
141264737,temperate Asia (WGSRPD:3),native range,en,
141264738,Europe (WGSRPD:1),native range,en,
141264740,Europe (WGSRPD:1),native range,en,
141264741,Europe (WGSRPD:1),native range,en,
141264742,Europe (WGSRPD:1),native range,en,
141264744,Europe (WGSRPD:1),native range,en,
141264745,Northern America (WGSRPD:7),native range,en,
141264746,temperate Asia (WGSRPD:3),native range,en,
141264747,Northern America (WGSRPD:7),native range,en,
141264749,Northern America (WGSRPD:7),native range,en,
141264750,temperate Asia (WGSRPD:3),native range,en,
141264752,Europe (WGSRPD:1),native range,en,
141264752,temperate Asia (WGSRPD:3),native range,en,
141264753,cultivated origin,native range,en,
141264754,Europe (WGSRPD:1),native range,en,
141264754,temperate Asia (WGSRPD:3),native range,en,
141264755,Africa (WGSRPD:2),native range,en,
141264755,Europe (WGSRPD:1),native range,en,
141264755,temperate Asia (WGSRPD:3),native range,en,
141264756,Africa (WGSRPD:2),native range,en,
141264756,Europe (WGSRPD:1),native range,en,
141264756,temperate Asia (WGSRPD:3),native range,en,
141264757,Northern America (WGSRPD:7),native range,en,
141264759,Europe (WGSRPD:1),native range,en,
141264760,Africa (WGSRPD:2),native range,en,
141264760,Europe (WGSRPD:1),native range,en,
141264760,temperate Asia (WGSRPD:3),native range,en,
141264761,Europe (WGSRPD:1),native range,en,
141264762,Africa (WGSRPD:2),native range,en,
141264762,Europe (WGSRPD:1),native range,en,
141264762,temperate Asia (WGSRPD:3),native range,en,
141264763,Africa (WGSRPD:2),native range,en,
141264765,Europe (WGSRPD:1),native range,en,
141264765,temperate Asia (WGSRPD:3),native range,en,
141264766,Northern America (WGSRPD:7),native range,en,
141264767,hybrid origin,native range,en,
141264769,Northern America (WGSRPD:7),native range,en,
141264770,temperate Asia (WGSRPD:3),native range,en,
141264772,temperate Asia (WGSRPD:3),native range,en,
141264774,hybrid origin,native range,en,
141264775,Europe (WGSRPD:1),native range,en,
141264776,Europe (WGSRPD:1),native range,en,
141264776,temperate Asia (WGSRPD:3),native range,en,
141264777,Europe (WGSRPD:1),native range,en,
141264777,temperate Asia (WGSRPD:3),native range,en,
141264778,hybrid origin,native range,en,
141264779,Europe (WGSRPD:1),native range,en,
141264779,temperate Asia (WGSRPD:3),native range,en,
141264780,Northern America (WGSRPD:7),native range,en,
141264781,Europe (WGSRPD:1),native range,en,
141264781,temperate Asia (WGSRPD:3),native range,en,
141264783,Southern America (WGSRPD:8),native range,en,
141264784,Southern America (WGSRPD:8),native range,en,
141264786,Northern America (WGSRPD:7),native range,en,
141264787,Northern America (WGSRPD:7),native range,en,
141264788,Europe (WGSRPD:1),native range,en,
141264788,temperate Asia (WGSRPD:3),native range,en,
141264789,Northern America (WGSRPD:7),native range,en,
141264790,Northern America (WGSRPD:7),native range,en,
141264791,Northern America (WGSRPD:7),native range,en,
141264792,Northern America (WGSRPD:7),native range,en,
141264793,Northern America (WGSRPD:7),native range,en,
141264794,Northern America (WGSRPD:7),native range,en,
141264796,temperate Asia (WGSRPD:3),native range,en,
141264797,Europe (WGSRPD:1),native range,en,
141264797,temperate Asia (WGSRPD:3),native range,en,
141264798,temperate Asia (WGSRPD:3),native range,en,
141264799,temperate Asia (WGSRPD:3),native range,en,
141264800,cultivated origin,native range,en,
141264801,temperate Asia (WGSRPD:3),native range,en,
141264802,temperate Asia (WGSRPD:3),native range,en,
141264804,Pantropical,native range,en,
141264805,Southern America (WGSRPD:8),native range,en,
141264806,Africa (WGSRPD:2),native range,en,
141264806,Europe (WGSRPD:1),native range,en,
141264806,temperate Asia (WGSRPD:3),native range,en,
141264807,Europe (WGSRPD:1),native range,en,
141264808,Europe (WGSRPD:1),native range,en,
141264809,Northern America (WGSRPD:7),native range,en,
141264810,Pantropical,native range,en,
141264811,pan-American,native range,en,
