key,countryCode,occurrenceStatus,eventDate,locationID,establishmentMeans,locality,pathway,degreeOfEstablishment,occurrenceRemarks,source,Invasiveness
141264581,BE,present,2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264581,BE,present,2020,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264583,BE,present,1997/2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264583,BE,present,,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
141264583,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264583,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264585,BE,present,2006,ISO_3166-2:BE,introduced,Belgium,,,,,
141264585,BE,present,2006,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264587,BE,present,2004,ISO_3166-2:BE,introduced,Belgium,,,,,
141264587,BE,present,2004,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264589,BE,present,1953/2018,ISO_3166-2:BE,introduced,Belgium,,,,,
141264589,BE,present,,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
141264589,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264589,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264591,BE,present,1974/1981,ISO_3166-2:BE,introduced,Belgium,,,,,
141264591,BE,present,1974/1981,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264592,BE,present,1893,ISO_3166-2:BE,introduced,Belgium,,,,,
141264592,BE,present,1893,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264594,BE,present,1860/1863,ISO_3166-2:BE,introduced,Belgium,,,,,
141264594,BE,present,1860/1863,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264596,BE,present,2014,ISO_3166-2:BE,introduced,Belgium,,,,,
141264596,BE,present,2014,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264598,BE,present,1977/2018,ISO_3166-2:BE,introduced,Belgium,,,,,
141264598,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264598,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264600,BE,present,1995,ISO_3166-2:BE,introduced,Belgium,,,,,
141264600,BE,present,1995,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264601,BE,present,1993/2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264601,BE,present,1993/2020,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264603,BE,present,2009/2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264603,BE,present,,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
141264603,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264605,BE,present,2014/2018,ISO_3166-2:BE,introduced,Belgium,,,,,
141264605,BE,present,2014/2018,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264607,BE,present,1881/2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264607,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264607,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264608,BE,present,2012/2015,ISO_3166-2:BE,introduced,Belgium,,,,,
141264608,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264608,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264609,BE,present,1949,ISO_3166-2:BE,introduced,Belgium,,,,,
141264609,BE,present,1949,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264610,BE,present,1959/2020,ISO_3166-2:BE,introduced,Belgium,,,,,
141264610,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264610,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264612,BE,present,2017,ISO_3166-2:BE,introduced,Belgium,,,,,
141264612,BE,present,2017,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264614,BE,present,2005/2016,ISO_3166-2:BE,introduced,Belgium,,,,,
141264614,BE,present,,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
141264614,BE,present,,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
141264616,BE,present,1947,ISO_3166-2:BE,introduced,Belgium,,,,,
