verifiedKey,startYear,lastYear,sourceChecklist,sourceTaxa
1002621,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953348
1005581,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953611
1005677,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953642
1007770,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953650
1008955,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953656
1010260,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953602
1010271,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145953605
1010644,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437977
1013526,2015,2015,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148437934
1013597,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957166
1017419,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957081
1031394,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438243
1031400,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438249
1031512,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438241
1031520,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438242
1031524,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438239
1031564,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438247
1031677,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438248
1031680,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438246
1031684,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438240
1031685,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438238
1031737,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438234
1031742,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438235
1031743,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438245
1032262,2004,2011,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438155
1032377,2004,2011,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438158
1034244,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959976
1034447,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957708
1035204,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959622
1035362,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961896
1036917,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957684
1040045,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958517
1041063,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959176
1041477,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958086
1043118,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958651
1043472,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145957919
1043717,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438201
1043887,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959262
1043978,2018,2018,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438188
1044109,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961880
1044114,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961888
1045837,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960948
1045842,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958571
1045874,,,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959216
