taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
141265030	Abronia fragrans Nutt.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8690876	Abronia fragrans Nutt.	Plantae	SPECIES	HOMOTYPIC_SYNONYM	5384889	Abronia fragrans Nutt. ex Hook.	Plantae	SPECIES	ACCEPTED	5384889	accept: same canonical	Peter Desmet	2021-05-08	FALSE
141266487	Abutilon x suntense C.D. Brickell	9ff7d317-609b-4c08-bd86-3bc404b77c42	3935725	Abutilon ×suntense C.D.Brickell	Plantae	SPECIES	SYNONYM	3937506	Corynabutilon ×suntense (C.D.Brickell) Fryxell	Plantae	SPECIES	ACCEPTED	3937506	accept	Quentin Groom	2018-12-20	FALSE
141266287	Acer cissifolium (Siebold & Zucc.) K. Koch	9ff7d317-609b-4c08-bd86-3bc404b77c42	3768287	Acer cissifolium (Siebold & Zucc.) K.Koch	Plantae	SPECIES	HOMOTYPIC_SYNONYM	7877018	Acer cissifolium (Siebold & Zucc.) C.Koch	Plantae	SPECIES	ACCEPTED	7877018	accept: same canonical	Peter Desmet	2021-05-08	TRUE
141266288	Acer japonicum Thunb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3767816	Acer japonicum Thunb.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	8010851	Acer japonicum C.P.Thunberg ex A.Murray	Plantae	SPECIES	ACCEPTED	8010851	accept	Quentin Groom	2018-12-20	TRUE
141266283	Acer palmatum Thunb.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3189882	Acer palmatum Thunb.	Plantae	SPECIES	SYNONYM	7912328	Acer palmatum C.P.Thunberg ex A.Murray	Plantae	SPECIES	DOUBTFUL	7912328	accept	Quentin Groom	2018-12-20	TRUE
168130912	Achatina fulica (Férussac, 1821)	1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2	10928934	Achatina fulica Bowdich, 1822	Animalia	SPECIES	SYNONYM	8790531	Lissachatina fulica (Bowdich, 1822)	Animalia	SPECIES	ACCEPTED	8790531	accept	Tim Adriaens	2023-09-15	FALSE
145962095	Achillea cartilaginea	3f5e930b-52a5-461d-87ec-26ecd66f14a3	3120381	Achillea cartilaginea Ledeb. ex Rchb.	Plantae	SPECIES	SYNONYM	7222196	Achillea salicifolia subsp. salicifolia	Plantae	SUBSPECIES	ACCEPTED	7222196	accept: see http://alienplantsbelgium.be/content/achillea-cartilaginea	Quentin Groom	2018-12-20	TRUE
141265172	Achillea cartilaginea Ledeb. ex Reichenb. s.l.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3120381	Achillea cartilaginea Ledeb. ex Rchb.	Plantae	SPECIES	SYNONYM	7222196	Achillea salicifolia subsp. salicifolia	Plantae	SUBSPECIES	ACCEPTED	7222196	accept: see http://alienplantsbelgium.be/content/achillea-cartilaginea	Quentin Groom	2018-12-20	FALSE
141117250	Acipenser guldenstaedti	98940a79-2bf1-46e6-afd6-ba2e85a26f9f	2402131	Acipenser guldenstaedti Brandt & Ratzeberg, 1833	Animalia	SPECIES	SYNONYM	2402129	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	Animalia	SPECIES	ACCEPTED	2402129	accept: https://github.com/trias-project/alien-fishes-checklist/issues/17	Peter Desmet	2018-12-20	FALSE
141266870	Aconitum napellus  L. subsp. napellus var. giganteum (Dum. ex Thielens) J. Duvigneaud	9ff7d317-609b-4c08-bd86-3bc404b77c42	3922770	Aconitum napellus var. giganteum (Dumort. ex Thielens) J.Duvign.	Plantae	VARIETY	SYNONYM	7707872	Aconitum napellus subsp. lusitanicum Rouy	Plantae	SUBSPECIES	ACCEPTED	3922770	reject: These are distinct taxa according to the Flore de la Belgique	Quentin Groom	2018-12-20	FALSE
